Section,Description,Offense,Punishment
136,"according to section 136 of indian penal code, whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman, in the army, navy or air force of the government of india, has deserted, harbours such officer, soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine or with both. ipc 136 in simple words if someone knowingly shelters or hides a deserted officer, soldier, sailor, or airman from the indian army, navy, or air force, they can be punished with up to two years in jail, a fine, or both.","harbouring such an officer, soldier, sailor or airman who has deserted",2 years or fine or both
122,"according to section 122 of indian penal code, whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the government of india, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine. ipc 122 in simple words if someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the government of india, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","collecting arms, etc., with the intention of waging war against the government of india",imprisonment for life or 10 years + fine
137,"according to section 137 of indian penal code, the master or person in charge of a merchant vessel, on board of which any deserter from the army, navy or air force of the government of india is concealed, shall, though ignorant of such concealment, be liable to a penalty not exceeding five hundred rupees, if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the vessel. ipc 137 in simple words if a deserter from the indian army, navy, or air force is hidden on a merchant vessel, and the master or person in charge could have known about it but neglected their duty or lacked discipline, they can be penalized with a fine of up to five hundred rupees, even if they were unaware of the concealment.","deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",fine
138,"according to section 138 of indian penal code, whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman, in the army, navy or air force, of the government of india, shall, if such act of insubordination be committed in consequence of that abetment, be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. ipc 138 in simple words if someone encourages and supports an act of insubordination by a military officer, soldier, sailor, or airman, and that act is committed as a result, they can be punished with up to six months in jail, a fine, or both.","abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 months or fine or both
121A,"a according to section 121a of indian penal code, whoever within or without india conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the central government or any state government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine. ipc 121a in simple words section 121a of the indian penal code states that anyone who conspires to commit certain serious offences or intends to use criminal force against the central government or any state government may face punishment of life imprisonment or imprisonment up to ten years, along with a possible fine.",conspiring to commit certain offences against the state,imprisonment for life or 10 years + fine
122,"according to section 122 of indian penal code, whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the government of india, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine. ipc 122 in simple words if someone gathers people, weapons, or prepares for war with the intention of waging or being ready to wage war against the government of india, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","collecting arms, etc., with the intention of waging war against the government of india",imprisonment for life or 10 years + fine
123,"according to section 123 of indian penal code, whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against the government of india, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 123 in simple words if someone hides or fails to report a plan to wage war against the government of india, intending to help or knowing it might help the war, they can be punished with imprisonment of up to ten years and may also be fined.",concealing with intent to facilitate a design to wage war,10 years + fine
124,"according to section 124 of indian penal code, whoever, with the intention of inducing or compelling the president of india, or governor of any state, to exercise or refrain from exercising in any manner any of the lawful powers of such president or governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such president or governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 124 in simple words if someone assaults or wrongfully restrains the president of india or governor of a state with the intention of influencing their lawful powers, they can be punished with imprisonment of up to seven years and may also be fined.","assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power",7 years + fine
124A,"a according to section 124a of indian penal code, whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the government established by law in india, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine. ipc 124a in simple words section 124a of the indian penal code punishes those who attempt to bring hatred, contempt, or disaffection towards the government of india through spoken or written words, signs, or visible representations, with either life imprisonment or imprisonment up to three years, along with a possible fine.",sedition,imprisonment for life + fine or 3 years + fine or fine
125,"according to section 125 of indian penal code, whoever wages war against the government of any asiatic power in alliance or at peace with the government of india or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine. ipc 125 in simple words if someone wages war against or attempts to wage war against a government of an asian country allied or at peace with india, or aids in doing so, they can be punished with life imprisonment, or imprisonment of up to seven years, and may also be fined.","waging war against any asiatic power in alliance or at peace with the government of india, or abetting the waging of such war",imprisonment for life + fine or 7 years + fine or fine
126,"according to section 126 of indian penal code, whoever commits depredation, or makes preparations to commit depredation, on the territories of any power in alliance or at peace with the government of india, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation. ipc 126 in simple words if someone commits or prepares to commit any harmful act on the territories of a country allied or at peace with india, they can be punished with imprisonment of up to seven years, fined, and any property used or gained in the act can be forfeited.",committing depredation on the territories of any power in alliance or at peace with the government of india,7 years + fine + forfeiture of property
140,"according to section 140 of indian penal code, whoever, not being a soldier, sailor or airman in the military, naval or air service of the government of india, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both. ipc 140 in simple words if someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 months or fine or both
153,"according to section 153 of indian penal code, whoever malignantly, or wantonly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed, shall, if the offence of rioting be committed in consequence of such provocation, be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both, and if the offence of rioting be not committed, with imprisonment of either description for a term which may extend to six months, or with fine, or with both. ipc 153 in simple words if someone intentionally provokes another person in a way that may lead to a riot, they can be punished with up to one year in jail, a fine, or both if a riot occurs, and up to six months in jail, a fine, or both if a riot doesn't happen.","wantonly giving provocation with intent to cause riot, if rioting be committed",1 year or fine or both
153A,"a according to section 153a of indian penal code, whoever by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both. offence committed in place of worship, etc â€” whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine. ipc 153a in simple words section 153a of the indian penal code punishes those who promote disharmony or feelings of hatred between different religious, racial, language, or regional groups, or engage in acts prejudicial to maintaining harmony, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",promoting enmity between classes,3 years or fine or both
153AA,"aa according to section 153aa of indian penal code, whoever by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or ill-will between different religious, racials, language or regional groups or castes or communities, or commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquility, or organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community, shall be punished with imprisonment which may extend to three years, or with fine, or with both. offence committed in place of worship, etc â€” whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine. ipc 153aa in simple words section 153aa of the indian penal code punishes those who promote or attempt to promote disharmony or hatred between different religious, racial, language, or regional groups, or engage in activities intending to use criminal force or violence against any such group, with imprisonment up to three years, or fine, or both, and up to five years of imprisonment with fine if the offence is committed in a place of worship or during religious ceremonies.",promoting enmity between classes,3 years or fine or both
153B,"b according to section 153b of indian penal code, whoever, by words either spoken or written or by signs or by visible representations or otherwise: makes or publishes any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the constitution of india as by law established or uphold the sovereignty and integrity of india, or asserts, counsels, advises, propagates or publishes that any class of persons by reason of their being members of any religious, racial, language or regional group or caste or community be denied, or deprived of their rights as citizens of india, or makes or publishes and assertion, counsel, plea or appeal concerning the obligation of any class of persons, by reason of their being members of any religious, racial, language or regional group or caste or community, and such assertion, counsel, plea or appeal causes or is likely to cause disharmony or feelings of enmity or hatred or ill-will between such members and other persons, shall be punished with imprisonment which may extend to three years, or with fine, or with both. whoever commits an offence specified in sub-section (1), in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine. ipc 153b in simple words section 153b of the indian penal code punishes those who make or publish statements that promote disharmony or hatred between different religious, racial, language, or regional groups, with imprisonment up to three years or a fine, and imprisonment up to five years with fine if the offence is committed in a place of worship or during religious ceremonies.","imputations, assertions prejudicial to national integration",3 years or fine or both
154,"according to section 154 of indian penal code, whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land, shall be punishable with fine not exceeding one thousand rupees, if he or his agent or manager, knowing that such offence is being or has been committed, or having reason to believe it is likely to be committed, do not give the earliest notice thereof in his or their power to the principal officer at the nearest police-station, and do not, in the case of his or their having reason to believe that it was about to be committed, use all lawful means in his or their power to prevent it and, in the event of its taking place, do not use all lawful means in his or their power to disperse or suppress the riot or unlawful assembly. ipc 154 in simple words if an unlawful assembly or riot occurs on someone's land, the owner or anyone with an interest in the land can be fined up to one thousand rupees if they or their agent/manager knew about the offense but failed to inform the nearest police station promptly or did not take lawful actions to prevent or disperse the riot or assembly.","owner or occupier of land non giving information of riot, etc.",fine
155,"according to section 155 of indian penal code, whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed or that the unlawful assembly by which such riot was committed was likely to be held, shall not respectively use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same. ipc 155 in simple words if a riot occurs for the benefit of a landowner or someone involved in a related dispute, that person can be fined if they or their agent/manager knew about the likelihood of the riot but failed to use lawful means to prevent or disperse it.",person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it,fine
156,"according to section 156 of indian penal code, whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place and for suppressing and dispersing the same. ipc 156 in simple words if a riot occurs for the benefit of a landowner or someone involved in a dispute related to the land, the agent or manager of that person can be fined if they knew about the possibility of the riot but failed to use lawful means to prevent or disperse it.",agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it,fine
157,"according to section 157 of indian penal code, whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. ipc 157 in simple words if someone knowingly provides shelter or gathers people who have been hired or engaged to join an unlawful assembly, they can be punished with up to six months in jail, a fine, or both.",harbouring persons hired for an unlawful assembly,6 months or fine or both
158,"according to section 158 of indian penal code, whoever is engaged, or hired, or offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. or to go armed â€” and whoever, being so engaged or hired as aforesaid, goes armed, or engages or offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely to cause death, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 158 in simple words anyone who is hired or attempts to be hired to participate in illegal activities mentioned in section 141 can be punished with up to six months in jail, a fine, or both; and if they carry a deadly weapon or anything likely to cause death, the punishment can be up to two years in jail, a fine, or both.",being hired to take part in an unlawful assembly or riot,6 months or fine or both
159,"according to section 159 of indian penal code, when two or more persons, by fighting in a public place, disturb the public peace, they are said to “commit an affray”. ipc 159 in simple words when two or more people get into a public fight that disturbs the peace, they are said to have committed an affray.",engaging in a public fight and disturbing peace is committing an affray with two or more individuals.,1 month or fine or both
145,"according to section 145 of indian penal code, whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly has been commanded in the manner prescribed by law to disperse, shall be punished with imprisonment of either description for a term which may extent to two years, or with fine, or with both. ipc 145 in simple words if someone knowingly stays in an unlawful assembly after being commanded by law to disperse, they can be punished with up to two years in jail, a fine, or both.","joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse",2 years or fine or both
160,"according to section 160 of indian penal code, whoever commits an affray, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both. ipc 160 in simple words if someone engages in an affray (public fight or brawl), they can be punished with up to one month in jail, a fine of up to one hundred rupees, or both.",committing affray,1 month or fine or both
161,"according to section 161 of indian penal code, repealed by the prevention of corruption act, 1988 ipc 161 in simple words section 161 of the indian penal code was removed from the law by the prevention of corruption act, 1988.","being or expecting to be a public servant, and taking a gratification other than legal remuneration in respect of an official act",3 years or fine or both
162,"according to section 162 of indian penal code, repealed by the prevention of corruption act, 1988 ipc 162 in simple words section 162 of the indian penal code was removed from the law by the prevention of corruption act, 1988.","taking a gratification in order, by corrupt or illegal means, to influence a public servant",3 years or fine or both
163,"according to section 163 of indian penal code, repealed by the prevention of corruption act, 1988 ipc 163 in simple words section 163 of the indian penal code was removed from the law by the prevention of corruption act, 1988.",taking a gratification for the exercise of personal influence with a public servant,simple imprisonment for 1 year or fine or both
164,"according to section 164 of indian penal code, repealed by the prevention of corruption act, 1988 ipc 164 in simple words section 164 of the indian penal code was removed from the law by the prevention of corruption act, 1988.",abetment by public servant of the offences defined in the last two preceding clauses with reference to himself,3 years or fine or both
165,"according to section 165 of indian penal code, repealed by the prevention of corruption act, 1988 ipc 165 in simple words section 165 of the indian penal code was removed from the law by the prevention of corruption act, 1988.","public servant obtaining any valuable thing, without consideration, from a person concerned in any proceeding or business transacted by such public servant",3 years or fine or both
165A,"a according to section 165a of indian penal code, repealed by the prevention of corruption act, 1988 ipc 165a in simple words section 165a of the indian penal code was repealed by the prevention of corruption act, 1988.",punishment for abetment of offences punishable under section 161 or section 165,3 years or fine or both
166,"according to section 166 of indian penal code, whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending to cause, or knowing it to be likely that he will, by such disobedience, cause injury to any person, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both. ipc 166 in simple words if a public servant deliberately disobeys the law while performing their duties and causes harm to someone as a result, they can be punished with up to one year in jail, a fine, or both.",public servant disobeying a direction of the law with intent to cause injury to any person,simple imprisonment for 1 year or fine or both
166A,"a according to section 166a of indian penal code, ""[whoever, being a public servant,â€” (a) knowingly disobeys any direction of the law which prohibits him from requiring the attendance at any place of any person for the purpose of investigation into an offence or any other matter, or (b) knowingly disobeys, to the prejudice of any person, any other direction of the law regulating the manner in which he shall conduct such investigation, or (c) fails to record any information given to him under sub-section (1) of section 154 of the code of criminal procedure, 1973 (2 of 1974), in relation to cognizable offence punishable under section 326a, section 326b, section 354, section 354b, section 370, section 370a, section 376, section 376a, 2[section 376ab, section 376b, section 376c, section 376d, section 376da, section 376db], section 376e or section 509, shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine.""",public servant disobeying direction under law,6 months to 2 years + fine
166B,"b according to section 166b of indian penal code, whoever, being in charge of a hospital, public or private, whether run by the central government, the state government, local bodies or any other person, contravenes the provisions of section1 357c of the code of criminal procedure, 1973, shall be punished with imprisonment for a term which may extend to one year or with fine or with both.","anyone overseeing a hospital, whether public or private, and breaching the provisions of section 357c of the code of criminal procedure.",1 year or fine or both
146,"according to section 146 of indian penal code, whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly, every member of such assembly is guilty of the offence of rioting. ipc 146 in simple words if an unlawful assembly uses force or violence to achieve their common goal, every member of that assembly is considered guilty of the offense of rioting.",rioting,2 years or fine or both
167,"according to section 167 of indian penal code, whoever, being a public servant, and being, as such public servant, charged with the preparation or translation of any document, frames or translates that document in a manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely that he may thereby cause injury to any person, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. ipc 167 in simple words if a public servant, responsible for preparing or translating a document, intentionally creates it inaccurately to cause harm to someone, they can be punished with up to three years in jail, a fine, or both.",public servant framing an incorrect document with intent to cause injury,3 years or fine or both
168,"according to section 168 of indian penal code, whoever, being a public servant, and being legally bound as such public servant not to engages in trade, engages in trade, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both. ipc 168 in simple words if a public servant, who is prohibited from doing business, involves themselves in trade, they can be punished with up to one year in jail, a fine, or both.",public servant unlawfully engaging in trade,simple imprisonment for 1 year or fine or both
169,"according to section 169 of indian penal code, whoever, being a public servant, and being legally bound as such public servant, not to purchase or bid for certain property, purchases or bids for that property, either in his own name or in the name of another, or jointly, or in shares with others, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both; and the property, if purchased, shall be confiscated. ipc 169 in simple words if a public servant, who is prohibited from buying certain property, purchases or bids for it in any way, they can be punished with up to two years in jail, a fine, or both, and the property may be confiscated.",public servant unlawfully buying or bidding for property,"simple imprisonment for 2 years or fine or both and confiscation of property, if purchased"
170,"according to section 170 of indian penal code, whoever pretends to hold any particular office as public servant, knowing that he does not hold such office or falsely personates any other person holding such office, and in such assumed character does or attempts to do any act under colour of such office, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 170 in simple words if someone falsely claims to be a public servant or impersonates another public servant to perform official acts, they can be punished with up to two years in jail, a fine, or both.",personating a public servant,2 years or fine or both
171,"according to section 171 of indian penal code, wearing garb or carrying token used by public servant with fraudulent intent.—whoever, not belonging to a certain class of public servants, wears any garb or carries any token resembling any garb or token used by that class of public servants, with the intention that it may be believed, or with the knowledge that it is likely to be believed, that he belongs to that class of public servants, shall be punished with imprisonment of either descrip­tion for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both. ipc 171 in simple words if a person evades a summons or notice from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in court or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",as described,3 months or fine or both
171A,"a according to section 171a of indian penal code, for the purposes of this chapter: “candidate” means a person who has been nominated as a candidate at any election; “electoral right” means the right of a person to stand, or not to stand as, or to withdraw from being, a candidate or to vote or refrain from voting at an election. ipc 171a in simple words section 171a of the indian penal code defines the terms ""candidate"" and ""electoral right"" for the purpose of this chapter, where ""candidate"" refers to a nominated person for an election, and ""electoral right"" means the right to stand as a candidate, vote, or withdraw from being a candidate.","""candidate"", ""electoral right"" defined",
171B,"b according to section 171b of indian penal code, whoever: gives a gratification to any person with the object of inducing him or any other person to exercise any electoral right or of rewarding any person for having exercised any such right; or accepts either for himself or for any other person any gratification as a reward for exercising any such right or for inducing or attempting to induce any other person to exercise any such right, commits the offence of bribery; provided that a declaration of public policy or a promise of public action shall not be an offence under this section. a person who offers, or agrees to give, or offers or attempts to procure, a gratification shall be deemed to give a gratification. a person who obtains or agrees to accept or attempts to obtain a gratification shall be deemed to accept a gratification, and a person who accepts a gratification as a motive for doing what he does not intend to do, or as a reward for doing what he has not done, shall be deemed to have accepted the gratification as a reward. ipc 171b in simple words section 171b of the indian penal code states that giving or accepting gratification with the intention of influencing someone's electoral right is considered bribery, except for declarations of public policy or promises of public action.",,
171C,"c according to section 171c of indian penal code, whoever voluntarily interferes or attempts to interfere with the free exercise of any electoral right commits the offence of undue influence at an election. without prejudice to the generality of the provisions of sub-section (1), whoever threatens any candidate or voter, or any person in whom a candidate or voter is interested, with injury of any kind, or induces or attempts to induce a candidate or voter to believe that he or any person in whom he is interested will become or will be rendered an object of divine displeasure or of spiritual censure, shall be deemed to interfere with the free exercise of the electoral right of such candidate or voter, within the meaning of sub-section (1). a declaration of public policy or a promise of public action, or the mere exercise or a legal right without intent to interfere with an electoral right, shall not be deemed to be interference within the meaning of this section. ipc 171c in simple words section 171c of the indian penal code states that anyone who voluntarily interferes or attempts to interfere with someone's free exercise of their electoral right commits the offence of undue influence at an election, which includes threatening or inducing a candidate or voter in any way that affects their voting freedom.",,
